date	iso_3166-1	iso_3166-2	voivodeship	cases	deaths
2020-05-13	LD	10	łódzkie	11	1
2020-05-14	LD	10	łódzkie	7	0
2020-05-15	LD	10	łódzkie	8	1
2020-05-16	LD	10	łódzkie	7	1
2020-05-17	LD	10	łódzkie	6	1
2020-05-18	LD	10	łódzkie	11	0
2020-05-19	LD	10	łódzkie	6	1
2020-05-20	LD	10	łódzkie	16	2
2020-05-21	LD	10	łódzkie	6	0
2020-05-22	LD	10	łódzkie	33	0
2020-05-23	LD	10	łódzkie	12	7
2020-05-24	LD	10	łódzkie	23	0
2020-05-25	LD	10	łódzkie	15	0
2020-05-26	LD	10	łódzkie	22	3
2020-05-27	LD	10	łódzkie	28	2
2020-05-28	LD	10	łódzkie	46	0
2020-05-29	LD	10	łódzkie	30	1
2020-05-30	LD	10	łódzkie	35	2
2020-05-31	LD	10	łódzkie	30	0
2020-06-01	LD	10	łódzkie	52	0
2020-06-02	LD	10	łódzkie	8	5
2020-06-03	LD	10	łódzkie	54	2
2020-06-04	LD	10	łódzkie	112	1
2020-06-05	LD	10	łódzkie	47	2
2020-06-06	LD	10	łódzkie	62	3
2020-03-04	LU	06	lubelskie	0	0
2020-03-05	LU	06	lubelskie	0	0
2020-03-06	LU	06	lubelskie	0	0
2020-03-07	LU	06	lubelskie	0	0
2020-03-08	LU	06	lubelskie	0	0
2020-03-09	LU	06	lubelskie	0	0
2020-03-10	LU	06	lubelskie	1	0
2020-03-11	LU	06	lubelskie	1	0
2020-03-12	LU	06	lubelskie	4	0
2020-03-13	LU	06	lubelskie	1	0
2020-03-14	LU	06	lubelskie	8	1
2020-03-15	LU	06	lubelskie	2	0
2020-03-16	LU	06	lubelskie	1	0
2020-03-17	LU	06	lubelskie	4	0
2020-03-18	LU	06	lubelskie	0	0
2020-03-19	LU	06	lubelskie	3	0
2020-03-20	LU	06	lubelskie	3	0
2020-03-21	LU	06	lubelskie	3	0
2020-03-22	LU	06	lubelskie	8	0
2020-03-23	LU	06	lubelskie	9	0
2020-03-24	LU	06	lubelskie	6	1
2020-03-25	LU	06	lubelskie	6	0
2020-03-26	LU	06	lubelskie	14	0
2020-03-27	LU	06	lubelskie	4	0
2020-03-28	LU	06	lubelskie	9	1
2020-03-29	LU	06	lubelskie	18	0
2020-03-30	LU	06	lubelskie	9	1
2020-03-31	LU	06	lubelskie	18	0
2020-04-01	LU	06	lubelskie	1	1
2020-04-02	LU	06	lubelskie	18	0
2020-04-03	LU	06	lubelskie	7	1
2020-04-04	LU	06	lubelskie	7	0
2020-04-05	LU	06	lubelskie	9	0
2020-04-06	LU	06	lubelskie	7	1
2020-04-07	LU	06	lubelskie	11	0
2020-04-08	LU	06	lubelskie	8	1
2020-04-09	LU	06	lubelskie	5	0
2020-04-10	LU	06	lubelskie	17	1
2020-04-11	LU	06	lubelskie	3	1
2020-04-12	LU	06	lubelskie	9	0
