date	country	cases	deaths	day_of_epidemie	name	alpha3Code	callingCodes	altSpellings	region	population	latlng	area	name_as_list	names
2020-03-14	china	80977	3193	53	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-03-15	china	81003	3203	54	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-03-16	china	81033	3217	55	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-03-17	china	81058	3230	56	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-03-18	china	81102	3241	57	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-03-19	china	81156	3249	58	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-03-20	china	81250	3253	59	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-03-21	china	81305	3259	60	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-03-22	china	81435	3274	61	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-03-23	china	81498	3274	62	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-03-24	china	81591	3281	63	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
2020-03-25	china	81661	3285	64	China	CHN	['86']	"['CN', 'Zhōngguó', 'Zhongguo', 'Zhonghua', ""People's Republic of China"", '中华人民共和国', 'Zhōnghuá Rénmín Gònghéguó']"	Asia	1377422166	[35.0, 105.0]	9640011.0	['China']	"['china', ' cn', ' zhōngguó', ' zhongguo', ' zhonghua', ' ""peoples republic of china""', ' 中华人民共和国', ' zhōnghuá rénmín gònghéguó']"
